Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	20	-31.07	2.4768	-31.07	2.4768	0.0005
2	20	-23.635	6.24842	-23.635	6.24842	0
4	20	-23.055	6.27082	-23.055	6.27082	0.0005
8	20	-31.315	3.04579	-31.315	3.04579	0.001
16	20	-22.975	6.7389	-22.975	6.7389	0.034
32	20	-11.205	9.53917	-11.205	9.53917	0.1115
64	20	-6.67	10.7374	-6.67	10.7374	0.2745
128	20	-12.85	23.956	-12.85	23.956	0.492
256	20	44.785	14.9304	44.785	14.9304	1.245
512	20	81.95	9.64255	81.95	9.64255	1.9205
1024	20	74.065	14.371	74.065	14.371	4.0405
2048	20	76.21	12.5242	76.21	12.5242	6.4975
4096	20	96.815	0.757208	96.815	0.757208	7.782
