Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-15.2,0.9541,-15.2,0.9541,7.5e-05,64,
2,1000,-15.07,1.008,-15.07,1.008,0.00011,67,
4,1000,-14.12,0.9792,-14.12,0.9792,0.000315,62,
8,1000,-9.955,0.9509,-9.955,0.9509,0.00073,64,
16,1000,-9.93,0.9261,-9.93,0.9261,0.00197,58,
32,1000,-4.72,1.003,-4.72,1.003,0.00426,76,
64,1000,-4.65,0.8644,-4.65,0.8644,0.00979,49,
128,1000,-0.14,0.9017,-0.14,0.9017,0.02162,48,
256,1000,5.035,0.8778,5.035,0.8778,0.04592,48,
512,1000,10.5,0.829,10.5,0.829,0.09797,38,
1024,1000,16.36,0.8446,16.36,0.8446,0.1999,42,
