Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-14.13,1.044,-14.13,1.044,7e-05,80,
2,1000,-14.58,0.9539,-14.58,0.9539,0.00015,62,
4,1000,-14.77,0.9604,-14.77,0.9604,0.00034,62,
8,1000,-12.03,0.857,-12.03,0.857,0.00078,42,
16,1000,-11.2,0.8253,-11.2,0.8253,0.002045,39,
32,1000,-8.995,0.7484,-8.995,0.7484,0.004375,26,
64,1000,-7.835,0.6561,-7.835,0.6561,0.01044,15,
128,1000,-5.24,0.6194,-5.24,0.6194,0.02578,13,
256,1000,0.225,0.6482,0.225,0.6482,0.05855,17,
512,1000,11.86,0.697,11.86,0.697,0.1188,18,
1024,1000,18.08,0.7437,18.08,0.7437,0.2301,27,
