Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-27.8,0.7865,-27.8,0.7865,6e-05,31,
2,1000,-27.86,0.726,-27.86,0.726,0.00014,21,
4,1000,-25.02,0.8306,-25.02,0.8306,0.0003,36,
8,1000,-20.3,0.7231,-20.3,0.7231,0.000735,21,
16,1000,-17.32,0.663,-17.32,0.663,0.002055,16,
32,1000,-14.1,0.645,-14.1,0.645,0.004245,14,
64,1000,-11.25,0.5881,-11.25,0.5881,0.01016,6,
128,1000,-7.515,0.6033,-7.515,0.6033,0.0226,12,
256,1000,-2.035,0.6412,-2.035,0.6412,0.05305,13,
512,1000,10.17,0.6839,10.17,0.6839,0.09964,11,
1024,1000,16.11,0.75,16.11,0.75,0.2025,19,
