Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,54.88,2.584,54.88,2.584,7.5e-05,658,
2,1000,56.66,2.6,56.66,2.6,0.000115,665,
4,1000,59.79,2.555,59.79,2.555,0.00021,713,
8,1000,66.72,2.751,66.72,2.751,0.000505,781,
16,1000,69.3,2.656,69.3,2.656,0.001135,805,
32,1000,79.13,2.647,79.13,2.647,0.00255,904,
64,1000,90.71,2.679,90.71,2.679,0.00574,1023,
128,1000,104.9,2.581,104.9,2.581,0.01384,1157,
256,1000,116.3,2.596,116.3,2.596,0.03847,1252,
512,1000,134,2.626,134,2.626,0.1098,1409,
1024,1000,149.2,2.701,149.2,2.701,0.2578,1549,
