Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-8.87,1.222,-8.87,1.222,5e-05,139,
2,1000,-5.705,1.371,-5.705,1.371,9.5e-05,175,
4,1000,-5.505,1.347,-5.505,1.347,0.00023,165,
8,1000,-2.575,1.353,-2.575,1.353,0.00058,179,
16,1000,2.385,1.502,2.385,1.502,0.0015,225,
32,1000,6.335,1.507,6.335,1.507,0.00342,244,
64,1000,12.06,1.497,12.06,1.497,0.0081,269,
128,1000,19.18,1.585,19.18,1.585,0.01806,299,
256,1000,28.68,1.66,28.68,1.66,0.04502,345,
512,1000,30.4,1.697,30.4,1.697,0.1045,292,
1024,1000,34.42,1.74,34.42,1.74,0.239,283,
