Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-10.68,1.215,-10.68,1.215,5e-05,131,
2,1000,-7.7,1.274,-7.7,1.274,0.000105,153,
4,1000,-5.105,1.371,-5.105,1.371,0.000275,168,
8,1000,-2.98,1.411,-2.98,1.411,0.00071,183,
16,1000,-4.85,1.258,-4.85,1.258,0.00177,149,
32,1000,-2.185,1.355,-2.185,1.355,0.00412,172,
64,1000,0.37,1.354,0.37,1.354,0.01006,186,
128,1000,8.065,1.426,8.065,1.426,0.02465,241,
256,1000,15.92,1.602,15.92,1.602,0.06087,271,
512,1000,30.94,1.706,30.94,1.706,0.133,305,
1024,1000,35.87,1.831,35.87,1.831,0.2859,292,
