Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-26.83,0.8163,-26.83,0.8163,7.5e-05,37,
2,1000,-27.65,0.7759,-27.65,0.7759,0.00013,29,
4,1000,-25.15,0.7772,-25.15,0.7772,0.000305,29,
8,1000,-21.07,0.7907,-21.07,0.7907,0.000725,33,
16,1000,-20.22,0.7501,-20.22,0.7501,0.002095,25,
32,1000,-15.21,0.7734,-15.21,0.7734,0.004585,32,
64,1000,-10.18,0.8651,-10.18,0.8651,0.01085,50,
128,1000,-5.26,0.8499,-5.26,0.8499,0.02351,52,
256,1000,1.82,0.8575,1.82,0.8575,0.05258,50,
512,1000,12.15,0.872,12.15,0.872,0.1065,49,
1024,1000,20.31,1.008,20.31,1.008,0.2332,68,
