Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-27.75,0.8108,-27.75,0.8108,6.5e-05,34,
2,1000,-27.71,0.783,-27.71,0.783,0.00011,30,
4,1000,-23.09,0.8747,-23.09,0.8747,0.00026,44,
8,1000,-19.89,0.7491,-19.89,0.7491,0.000695,27,
16,1000,-15.17,0.9261,-15.17,0.9261,0.00189,57,
32,1000,-12.44,0.8317,-12.44,0.8317,0.00413,40,
64,1000,-10.6,0.7878,-10.6,0.7878,0.008995,36,
128,1000,-4.49,0.7493,-4.49,0.7493,0.01749,22,
256,1000,1.04,0.753,1.04,0.753,0.0388,23,
512,1000,8.07,0.7281,8.07,0.7281,0.08077,18,
1024,1000,14.72,0.7902,14.72,0.7902,0.1781,30,
2048,1000,17.89,0.9337,17.89,0.9337,0.3915,44,
