Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-29.29,0.7179,-29.29,0.7179,6.5e-05,22,
2,1000,-29.5,0.7124,-29.5,0.7124,8e-05,21,
4,1000,-29.18,0.7818,-29.18,0.7818,0.00012,33,
8,1000,-27.66,0.8404,-27.66,0.8404,0.000205,36,
16,1000,-28.56,0.8125,-28.56,0.8125,0.000325,34,
32,1000,-27.34,0.817,-27.34,0.817,0.000675,30,
64,1000,-26.5,0.8454,-26.5,0.8454,0.001165,34,
128,1000,-22.85,0.8067,-22.85,0.8067,0.002385,30,
256,1000,-21.67,0.7445,-21.67,0.7445,0.00467,15,
512,1000,-19.78,0.7389,-19.78,0.7389,0.009255,16,
1024,1000,-18.58,0.6703,-18.58,0.6703,0.01793,13,
