Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-27.75,0.8108,-27.75,0.8108,5e-05,34,
2,1000,-27.72,0.7642,-27.72,0.7642,0.0001,27,
4,1000,-25.26,0.777,-25.26,0.777,0.000245,31,
8,1000,-20.09,0.8406,-20.09,0.8406,0.000625,40,
16,1000,-15.99,0.9623,-15.99,0.9623,0.001785,63,
32,1000,-10.26,0.9342,-10.26,0.9342,0.003935,59,
64,1000,-6.215,0.9502,-6.215,0.9502,0.00879,69,
128,1000,-1.07,0.9573,-1.07,0.9573,0.01721,68,
256,1000,6.905,0.9983,6.905,0.9983,0.03798,74,
512,1000,14.41,1.138,14.41,1.138,0.08514,83,
1024,1000,19.49,1.08,19.49,1.08,0.1953,79,
