Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-29.29,0.7179,-29.29,0.7179,7e-05,22,
2,1000,-29.47,0.7108,-29.47,0.7108,6e-05,21,
4,1000,-29.04,0.7813,-29.04,0.7813,0.000145,33,
8,1000,-28.28,0.8192,-28.28,0.8192,0.00021,35,
16,1000,-27.05,0.9213,-27.05,0.9213,0.000345,46,
32,1000,-26.17,0.8362,-26.17,0.8362,0.000675,37,
64,1000,-26.36,0.7507,-26.36,0.7507,0.0012,25,
128,1000,-25.02,0.6998,-25.02,0.6998,0.002295,14,
256,1000,-21.83,0.7103,-21.83,0.7103,0.004645,13,
512,1000,-21.5,0.7465,-21.5,0.7465,0.00901,16,
1024,1000,-18.54,0.6682,-18.54,0.6682,0.01771,10,
