Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,Joint Goal Count,
1,1000,-28.72,0.7852,-28.72,0.7852,7e-05,28,
2,1000,-25.87,0.8541,-25.87,0.8541,0.00011,40,
4,1000,-25.59,0.7842,-25.59,0.7842,0.00029,30,
8,1000,-20.76,0.8241,-20.76,0.8241,0.00078,35,
16,1000,-17.71,0.8183,-17.71,0.8183,0.002115,40,
32,1000,-15.82,0.7799,-15.82,0.7799,0.004785,29,
64,1000,-12.99,0.7792,-12.99,0.7792,0.01235,37,
128,1000,-9.925,0.7797,-9.925,0.7797,0.02843,39,
256,1000,-1.145,0.9353,-1.145,0.9353,0.06745,64,
512,1000,13.67,0.8863,13.67,0.8863,0.1284,61,
1024,1000,20.33,0.9098,20.33,0.9098,0.2514,46,
