Simulations,Reward Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time,
1,1,1000,1.16,0.9327,1.16,0.9327,3e-05,
2,1,1000,0.04,0.8952,0.04,0.8952,7.5e-05,
4,1,1000,0.62,0.835,0.62,0.835,0.000195,
8,1,1000,1.925,0.8394,1.925,0.8394,0.000495,
16,1,1000,5.045,0.9698,5.045,0.9698,0.001325,
32,1,1000,7.825,0.9623,7.825,0.9623,0.003085,
64,1,1000,8.615,0.9808,8.615,0.9808,0.00721,
128,1,1000,10.75,0.9709,10.75,0.9709,0.01759,
256,1,1000,12.73,1.065,12.73,1.065,0.04068,
512,1,1000,14.75,1.089,14.75,1.089,0.08664,
1024,1,1000,14.63,1.136,14.63,1.136,0.1913,
