Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	50	-5.112	3.3118	-5.112	3.3118	0
2	50	-1.844	2.14108	-1.844	2.14108	0.0002
4	50	1.196	2.33537	1.196	2.33537	0.0002
8	50	5.324	1.46833	5.324	1.46833	0.0002
16	50	8.916	1.2613	8.916	1.2613	0.0002
32	50	9.108	1.16284	9.108	1.16284	0.0004
64	50	10.5	0.498133	10.5	0.498133	0.0006
128	50	11.58	0.664175	11.58	0.664175	0.0012
256	50	14.384	0.708753	14.384	0.708753	0.0018
512	50	16.596	0.647716	16.596	0.647716	0.0034
1024	50	16.592	0.648591	16.592	0.648591	0.007
2048	50	16.592	0.648591	16.592	0.648591	0.0124
4096	50	15.4	0.697997	15.4	0.697997	0.0256
8192	50	16.8	0.63498	16.8	0.63498	0.0472
16384	50	15.6	0.69282	15.6	0.69282	0.0874
32768	50	15.788	0.68631	15.788	0.68631	0.164
65536	50	15.796	0.686009	15.796	0.686009	0.3116
